,time,latitude,longitude,T,P,H,U
0,20100623,36.125,3.125,21.04,0.0,42.88,2.29
1,20100624,36.125,3.125,23.73,1.09,39.12,3.03
2,20100625,36.125,3.125,25.69,0.0,41.81,3.29
3,20100623,36.125,3.375,21.04,0.0,42.88,2.29
4,20100624,36.125,3.375,23.73,0.72,39.12,3.03
5,20100625,36.125,3.375,25.69,0.03,41.81,3.29
6,20100623,36.125,3.625,21.05,0.0,44.12,2.2
7,20100624,36.125,3.625,23.9,0.24,40.06,3.08
8,20100625,36.125,3.625,26.19,0.28,39.56,4.21
9,20100623,36.375,3.125,21.58,0.0,47.75,3.1
10,20100624,36.375,3.125,23.28,1.71,47.25,3.92
11,20100625,36.375,3.125,24.62,0.05,52.12,4.23
12,20100623,36.375,3.375,21.58,0.0,47.75,3.1
13,20100624,36.375,3.375,23.28,1.56,47.25,3.92
14,20100625,36.375,3.375,24.62,0.05,52.12,4.23
15,20100623,36.375,3.625,20.8,0.0,49.69,2.66
16,20100624,36.375,3.625,22.48,0.18,49.06,3.44
17,20100625,36.375,3.625,24.75,0.13,49.06,3.92
18,20100623,36.625,3.125,21.58,0.0,47.75,3.1
19,20100624,36.625,3.125,23.28,0.11,47.25,3.92
20,20100625,36.625,3.125,24.62,1.31,52.12,4.23
21,20100623,36.625,3.375,21.58,0.0,47.75,3.1
22,20100624,36.625,3.375,23.28,0.37,47.25,3.92
23,20100625,36.625,3.375,24.62,0.6,52.12,4.23
24,20100623,36.625,3.625,20.8,0.0,49.69,2.66
25,20100624,36.625,3.625,22.48,0.0,49.06,3.44
26,20100625,36.625,3.625,24.75,0.8,49.06,3.92
